Comment,Designator,Footprint,LCSC
16Mhz,X1,Crystal_SMD_3225-4Pin_3.2x2.5mm, C13738
100nF/50V,C3,C_0603_1608Metric, C14663
AP2112K-3.3,U4,SOT-23-5, C51118
TVS SMA40,D2,D_SMA, C513490
1K,"R11,R5,R9",R_0402_1005Metric,C11702
LTV-814,U2,OPTO-SMD4,C125118
NCN5120MNTWG,U1,QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm,C130364
USB_B_Micro,J4,USB_Micro-B_Molex-105017-0001,C136000
100nF/6.3V,"C5,C6",C_0402_1005Metric,C1525
18pF/50V,"C11,C17",C_0402_1005Metric,C1549
1uF/50V,C41,C_0603_1608Metric,C15849
10uF/6.3V,C101,C_0805_2012Metric,C15850
47nF/50V,C1,C_0603_1608Metric,C1622
10K,R10,R_0805_2012Metric,C17414
220R,R6,R_0805_2012Metric,C17557
SS16,D1,D_SMA,C183023
RP2040,U5,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
Red,D4,D_0603_1608Metric,C2286
100uF/35V,C4,CP_Elec_6.3x5.7,C249982
22R,"R12,R13",R_0402_1005Metric,C25092
10k,"R3,R4,R8",R_0402_1005Metric,C25744
3K3,R7,R_0805_2012Metric,C26010
CJ2302,Q1,SOT-23,C2910175
WS2812B3535,LED1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2920042
W25Q64JVXGIQ,IC1,SON80P400X400X50-9N,C2940195
100nF/50V,"C12,C13,C19,C20,C22,C24,C25,C26",C_0402_1005Metric,C307331
RESET,"SW1,SW2,SW3",SW_TS-1187A-B-A-B,C318884
10pF/50V,"C8,C9",C_0402_1005Metric,C32949
1R,R2,R_0402_1005Metric,C332612
22R,R1,R_2512_6332Metric,C421606
NSR0320,"D3,D6",D_SOD-323,C48192
220uH,L1,IND_VLS5045EX-3R3N,C501936
12MHz,X2,Crystal_SMD_2520-4Pin_2.5x2.0mm,C521567
1uF/25V,"C18,C23",C_0402_1005Metric,C52923
4.7nF/50V,C2,C_0603_1608Metric,C53987
10uF/25V,"C10,C21,C7",C_0603_1608Metric,C96446
Debug,J8,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x07_Male,J5,PinHeader_1x07_P2.54mm_Horizontal,
Conn_01x07_Female,J7,PinSocket_1x07_P2.54mm_Vertical,
KNX,J2,KNX Male,
Screw_Terminal_01x02,J3,TerminalBlock_Altech_AK300-2_P5.00mm,
Conn_01x09_Female,J1,PinSocket_1x09_P2.54mm_Vertical,
Conn_01x07_Male,J6,PinHeader_1x07_P2.54mm_Horizontal,
SolderJumper_3_Bridged12,JP2,SolderJumper-3_P1.3mm_Bridged2Bar12_RoundedPad1.0x1.5mm_NumberLabels,
Save to D11,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
