Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47nF/50V,C_0603_1608Metric,214.15,-110.815456,-90.0,top
C2,4.7nF/50V,C_0603_1608Metric,213.25,-107.615456,90.0,top
C3,100nF/50V,C_0603_1608Metric,215.65,-111.515456,-90.0,top
C4,100uF/35V,CP_Elec_6.3x5.7,209.0752,-100.019458,0.0,top
C5,100nF/6.3V,C_0402_1005Metric,203.4872,-111.957458,90.0,top
C6,100nF/6.3V,C_0402_1005Metric,211.4884,-113.799856,180.0,top
C7,10uF/25V,C_0603_1608Metric,164.35,-105.751456,90.0,top
C8,10pF/50V,C_0402_1005Metric,203.5812,-115.759458,90.0,top
C9,10pF/50V,C_0402_1005Metric,209.6862,-115.944458,-90.0,top
C10,10uF/25V,C_0603_1608Metric,205.2512,-104.369458,0.0,top
C11,18pF/50V,C_0402_1005Metric,198.3792,-107.131458,180.0,top
C12,100nF/50V,C_0402_1005Metric,187.2312,-110.941458,-90.0,top
C13,100nF/50V,C_0402_1005Metric,191.8032,-110.207458,-90.0,top
C17,18pF/50V,C_0402_1005Metric,198.1532,-102.559458,180.0,top
C18,1uF/25V,C_0402_1005Metric,183.6752,-101.797458,180.0,top
C19,100nF/50V,C_0402_1005Metric,196.05,-100.415456,180.0,top
C20,100nF/50V,C_0402_1005Metric,182.6592,-105.861458,0.0,top
C21,10uF/25V,C_0603_1608Metric,165.366,-103.211456,180.0,top
C22,100nF/50V,C_0402_1005Metric,190.7872,-99.003458,90.0,top
C23,1uF/25V,C_0402_1005Metric,183.6752,-100.781458,180.0,top
C24,100nF/50V,C_0402_1005Metric,183.6752,-99.765458,180.0,top
C25,100nF/50V,C_0402_1005Metric,197.95,-101.515456,0.0,top
C26,100nF/50V,C_0402_1005Metric,179.8652,-104.845458,180.0,top
C41,1uF/50V,C_0603_1608Metric,208.5672,-104.591458,0.0,top
C101,10uF/6.3V,C_0805_2012Metric,200.6482,-100.886458,0.0,top
D1,SS16,D_SMA,216.35,-97.315456,90.0,top
D2,TVS SMA40,D_SMA,208.5672,-94.431458,0.0,top
D3,NSR0320,D_SOD-323,164.35,-109.815456,-90.0,top
D4,Red,D_0603_1608Metric,114.8882,-97.533115,90.0,top
D6,NSR0320,D_SOD-323,177.35,-115.315456,0.0,top
IC1,W25Q64JVXGIQ,SON80P400X400X50-9N,181.95,-109.615456,90.0,top
J1,Conn_01x09_Female,PinSocket_1x09_P2.54mm_Vertical,176.84,-94.4,90.0,top
J2,KNX,KNX Male,80.5,-111.043,180.0,top
J3,Screw_Terminal_01x02,TerminalBlock_Altech_AK300-2_P5.00mm,157.4,-113.858,90.0,top
J4,USB_B_Micro,USB_Micro-B_Molex-105017-0001,167.85,-114.815456,0.0,top
J5,Conn_01x07_Male,PinHeader_1x07_P2.54mm_Horizontal,112.175,-116.693,90.0,top
J6,Conn_01x07_Male,PinHeader_1x07_P2.54mm_Horizontal,89.125,-93.821113,270.0,bottom
J7,Conn_01x07_Female,PinSocket_1x07_P2.54mm_Vertical,199.05,-116.554458,-90.0,top
J8,Debug,PinHeader_1x02_P2.54mm_Vertical,169.05,-95.015456,90.0,top
L1,220uH,IND_VLS5045EX-3R3N,202.2172,-95.955458,90.0,top
LED1,WS2812B3535,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,78.4,-97.3,270.0,top
Q1,CJ2302,SOT-23,139.2644,-110.4036,180.0,top
R1,22R,R_2512_6332Metric,216.4412,-105.315456,90.0,top
R2,1R,R_0402_1005Metric,204.1812,-102.809458,0.0,top
R3,10k,R_0402_1005Metric,166.382,-109.053456,0.0,top
R4,10k,R_0402_1005Metric,196.8832,-99.003458,180.0,top
R5,1K,R_0402_1005Metric,196.15,-104.915456,180.0,top
R6,220R,R_0805_2012Metric,147.6991,-107.9652,180.0,top
R7,3K3,R_0805_2012Metric,139.5184,-107.6096,180.0,top
R8,10k,R_0402_1005Metric,185.95,-113.415456,180.0,top
R9,1K,R_0402_1005Metric,115.0792,-93.723115,180.0,top
R10,10K,R_0805_2012Metric,139.5184,-113.5532,0.0,top
R11,1K,R_0402_1005Metric,179.85,-113.315456,90.0,top
R12,22R,R_0402_1005Metric,183.6752,-103.829458,0.0,top
R13,22R,R_0402_1005Metric,183.6752,-102.813458,0.0,top
SW1,RESET,SW_TS-1187A-B-A-B,84.2112,-97.407313,90.0,top
SW2,KNX Prog,SW_TS-1187A-B-A-B,110.3162,-97.533115,90.0,top
SW3,SW,SW_TS-1187A-B-A-B,175.35,-109.163458,90.0,top
U1,NCN5120MNTWG,QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm,208.1262,-109.484458,90.0,top
U2,LTV-814,OPTO-SMD4,147.1384,-112.2324,180.0,top
U4,AP2112K-3.3,SOT-23-5,167.144,-106.259456,270.0,top
U5,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,189.7712,-104.591458,90.0,top
X1,16Mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm,206.4612,-115.689458,180.0,top
X2,12MHz,Crystal_SMD_2520-4Pin_2.5x2.0mm,198.9152,-105.099458,0.0,top
